Rank,Location,Country,Territory,Population per square area,Population,Land area
82, Micronesia, Micronesia,,"164
",115224,"702
"
83, Togo, Togo,,"159
",9053799,"56785
"
84, Tokelau (New Zealand), Tokelau,New Zealand,"158
",1893,"12
"
85, Kosovo, Kosovo,,"153
",1663595,"10905
"
86, China, China,,"149
",1425671352,"9600000
"
87, Cape Verde, Cape Verde,,"148
",598682,"4033
"
88, Isle of Man, Isle of Man,,"148
",84710,"572
"
89, Indonesia, Indonesia,,"145
",277534123,"1910931
"
90, Tonga, Tonga,,"144
",107773,"747
"
91, Ghana, Ghana,,"143
",34121985,"238537
"
92, Thailand, Thailand,,"140
",71801279,"513140
"
93, Denmark, Denmark,,"138
",5910913,"42947
"
94, Cyprus, Cyprus,,"136
",1260138,"9251
"
95, United Arab Emirates, United Arab Emirates,,"134
",9516871,"71024
"
96, Transnistria, Transnistria,,"134
",468980,"3510
"
97, Czech Republic, Czech Republic,,"133
",10495295,"78871
"
98, Jordan, Jordan,,"127
",11337053,"89318
"
99, Syria, Syria,,"125
",23227014,"185180
"
100, Sierra Leone, Sierra Leone,,"122
",8791092,"72300
"
101, Poland, Poland,,"120
",37691000,"313931
"
102, Azerbaijan, Azerbaijan,,"120
",10412652,"86600
"
103, Benin, Benin,,"119
",13712828,"114763
"
104, Slovakia, Slovakia,,"118
",5795199,"49035
"
105, France (metropolitan), France,metropolitan,"117
",64756584,"551500
"
106, Ethiopia, Ethiopia,,"115
",126527060,"1104300
"
107, Northern Cyprus, Northern Cyprus,,"114
",382836,"3355
"
108, Egypt, Egypt,,"112
",112716599,"1002000
"
109, Portugal, Portugal,,"111
",10247605,"92225
"
110, Turkey, Turkey,,"110
",85816199,"783562
"
111, Hungary, Hungary,,"109
",10156239,"93025
"
112, Northern Mariana Islands (US), Northern Mariana Islands,US,"109
",49796,"457
"
113, Austria, Austria,,"107
",8958961,"83878
"
114, Iraq, Iraq,,"105
",45504560,"435052
"
115, Slovenia, Slovenia,,"105
",2119675,"20273
"
116, Malaysia, Malaysia,,"104
",34308525,"330621
"
117, Costa Rica, Costa Rica,,"102
",5212173,"51100
"
118, Cuba, Cuba,,"102
",11194449,"109884
"
119, Moldova, Moldova,,"102
",3435931,"33847
"
120, France (metropolitan & overseas), France,metropolitan & overseas,"101
",68000000,"672000
"
121, Albania, Albania,,"99
",2832439,"28748
"
122, Dominica, Dominica,,"97
",73040,"750
"
123, Spain, Spain,,"97
",48797875,"505994
"
124, Honduras, Honduras,,"94
",10593798,"112492
"
125, Cambodia, Cambodia,,"94
",16944826,"181039
"
126, Armenia, Armenia,,"93
",2777971,"29743
"
127, Kenya, Kenya,,"93
",55100587,"591958
"
128, East Timor, East Timor,,"91
",1360596,"14919
"
129, Senegal, Senegal,,"90
",17763163,"196712
"
130, Ivory Coast, Ivory Coast,,"90
",28873034,"322462
"
131, Burkina Faso, Burkina Faso,,"86
",23251485,"270764
"
132, French Polynesia (France), French Polynesia,France,"84
",308872,"3687
"
133, Romania, Romania,,"83
",19892812,"238398
"
134, Caribbean Netherlands (Netherlands), Caribbean Netherlands,Netherlands,"83
",27148,"328
"
135, North Macedonia, North Macedonia,,"81
",2085679,"25713
"
136, Wallis and Futuna (France), Wallis and Futuna,France,"81
",11502,"142
"
137, Serbia, Serbia,,"81
",7149077,"88444
"
138, Myanmar, Myanmar,,"81
",54577997,"676577
"
139, Samoa, Samoa,,"79
",225681,"2842
"
140, Brunei, Brunei,,"78
",452524,"5765
"
141, Greece, Greece,,"78
",10341277,"131957
"
142, Uzbekistan, Uzbekistan,,"78
",35163944,"448969
"
143, Lesotho, Lesotho,,"77
",2330318,"30355
"
144, Tunisia, Tunisia,,"76
",12458223,"163610
"
145, Ireland, Ireland,,"72
",5056935,"69825
"
146, Cook Islands, Cook Islands,,"72
",17044,"236
"
147, Tajikistan, Tajikistan,,"72
",10143543,"141400
"
148, Tanzania, Tanzania,,"71
",67438106,"947303
"
149, Croatia, Croatia,,"71
",4008617,"56594
"
150, Ecuador, Ecuador,,"71
",18190484,"257215
"
151, Eswatini, Eswatini,,"70
",1210822,"17363
"
152, Mexico, Mexico,,"65
",128455567,"1964375
"
153, Yemen, Yemen,,"65
",34449825,"527968
"
154, Afghanistan, Afghanistan,,"65
",42239854,"652864
"
155, Bosnia and Herzegovina, Bosnia and Herzegovina,,"63
",3210848,"51209
"
156, Akrotiri and Dhekelia (UK), Akrotiri and Dhekelia,UK,"62
",15700,"254
"
157, Equatorial Guinea, Equatorial Guinea,,"61
",1714672,"28051
"
158, Ukraine, Ukraine,,"61
",36744634,"603500
"
159, Bulgaria, Bulgaria,,"61
",6687717,"110372
"
160, Cameroon, Cameroon,,"60
",28647293,"475650
"
